,DenID,BankID,QuollCode,Sex,Morph,Origin,Year,DateOfAcquisition,ReleaseType,TrackedDenDate,POSIXdate,DaysPostRelease,DaysBetween,X,Y,History,Fate,Coden,CodenPrev,PouchYoung,PouchBorn,PouchAge,ReleaseX,ReleaseY,cluster,meanX,meanY,x,y,date,dx,dy,dist,dt,R2n,abs.angle,rel.angle,BankID,Trial
36,44,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,6/03/2016,2016.03.06,4,1,698410,6106163,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,31,698408.8333,6106167.167,698408.8333,6106167.167,6/03/2016,560.5196078,-172.7745098,586.5434869,86400,0,-0.298999091,NA,EQ01,1
45,55,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,7/03/2016,2016.03.07,5,1,698970,6105995,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,7/03/2016,100.7581699,27.71895425,104.5014317,86400,344033.262,0.268462699,0.56746179,EQ01,1
54,66,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,8/03/2016,2016.03.08,6,1,699071,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,32,699070.1111,6106022.111,699070.1111,6106022.111,8/03/2016,-100.7581699,-27.71895425,104.5014317,86400,458329.4136,-2.873129954,3.141592654,EQ01,1
63,76,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,9/03/2016,2016.03.09,7,1,698970,6105995,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,9/03/2016,0,0,0,86400,344033.262,NA,NA,EQ01,1
72,85,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,10/03/2016,2016.03.10,8,1,698970,6105995,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,10/03/2016,0,0,0,86400,344033.262,NA,NA,EQ01,1
80,93,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,11/03/2016,2016.03.11,9,1,698970,6105995,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,11/03/2016,0,0,0,86400,344033.262,NA,NA,EQ01,1
88,103,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,12/03/2016,2016.03.12,10,1,698970,6105995,Alive,0,Den shared,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,12/03/2016,-14.65960784,24.1945098,28.2891924,86400,344033.262,2.115547439,-1.294507914,EQ01,1
96,112,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,13/03/2016,2016.03.13,11,1,698962,6106020,Alive,0,Alone,Den shared,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,13/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
103,121,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,14/03/2016,2016.03.14,12,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,14/03/2016,14.65960784,-24.1945098,28.2891924,86400,320039.156,-1.026045215,3.141592654,EQ01,1
111,130,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,15/03/2016,2016.03.15,13,1,698970,6105995,Alive,0,Den shared,Alone,Absent,Absent,NA,698748,6106221,15,698969.3529,6105994.392,698969.3529,6105994.392,15/03/2016,-14.65960784,24.1945098,28.2891924,86400,344033.262,2.115547439,3.141592654,EQ01,1
119,139,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,16/03/2016,2016.03.16,14,1,698962,6106020,Alive,0,Alone,Den shared,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,16/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
127,148,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,17/03/2016,2016.03.17,15,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,17/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
135,156,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,18/03/2016,2016.03.18,16,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,18/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
143,164,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,19/03/2016,2016.03.19,17,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,19/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
151,172,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,20/03/2016,2016.03.20,18,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,20/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
159,180,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,21/03/2016,2016.03.21,19,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,21/03/2016,32.30666667,117.4133333,121.7768925,86400,320039.156,1.302287595,-0.813259844,EQ01,1
167,188,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,22/03/2016,2016.03.22,20,1,698987,6106136,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,34,698987,6106136,698987,6106136,22/03/2016,64,315,321.4358412,86400,335248.0556,1.370350136,0.06806254,EQ01,1
175,196,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,23/03/2016,2016.03.23,21,1,699051,6106451,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,35,699051,6106451,699051,6106451,23/03/2016,-143,-418,441.7838838,86400,492939.3889,-1.900420734,3.012414437,EQ01,1
183,204,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,24/03/2016,2016.03.24,22,1,698908,6106033,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,36,698908,6106033,698908,6106033,24/03/2016,46.69333333,-14.41333333,48.86728513,86400,267168.0556,-0.299401639,1.601019095,EQ01,1
191,212,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,25/03/2016,2016.03.25,23,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,25/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
199,220,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,26/03/2016,2016.03.26,24,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,26/03/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
207,228,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,27/03/2016,2016.03.27,25,1,698962,6106020,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,27/03/2016,-30.39921569,188.825098,191.2564508,86400,320039.156,1.730418087,2.029819726,EQ01,1
215,236,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,28/03/2016,2016.03.28,26,1,698925,6106206,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,37,698924.2941,6106207.412,698924.2941,6106207.412,28/03/2016,0,0,0,86400,267319.4881,NA,NA,EQ01,1
223,244,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,29/03/2016,2016.03.29,27,1,698925,6106206,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,37,698924.2941,6106207.412,698924.2941,6106207.412,29/03/2016,0,0,0,86400,267319.4881,NA,NA,EQ01,1
231,252,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,30/03/2016,2016.03.30,28,1,698925,6106206,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,37,698924.2941,6106207.412,698924.2941,6106207.412,30/03/2016,30.39921569,-188.825098,191.2564508,86400,267319.4881,-1.411174567,3.141592654,EQ01,1
239,260,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,31/03/2016,2016.03.31,29,1,698960,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,31/03/2016,-30.39921569,188.825098,191.2564508,86400,320039.156,1.730418087,3.141592654,EQ01,1
247,268,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,1/04/2016,2016.04.01,30,1,698925,6106206,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,37,698924.2941,6106207.412,698924.2941,6106207.412,1/04/2016,30.39921569,-188.825098,191.2564508,349200,267319.4881,-1.411174567,3.141592654,EQ01,1
262,284,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,5/04/2016,2016.04.05,34,1,698960,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,5/04/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
269,291,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,6/04/2016,2016.04.06,35,1,698960,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,6/04/2016,0,0,0,86400,320039.156,NA,NA,EQ01,1
276,298,EQ01,8C2B,Female,Black,Captive,2016,11/02/2016,Captive-Wild,7/04/2016,2016.04.07,36,1,698960,6106023,Alive,0,Alone,Alone,Absent,Absent,NA,698748,6106221,33,698954.6933,6106018.587,698954.6933,6106018.587,7/04/2016,NA,NA,NA,NA,320039.156,NA,NA,EQ01,1
6,6,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,2/03/2016,2016.03.02,2,1,696231,6106938,Alive,1,Den shared,Den shared,Absent,Absent,NA,696824,6107075,1,696231,6106938,696231,6106938,2/03/2016,247,-1341,1363.557846,86400,0,-1.388646996,NA,EQ03,1
13,15,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,3/03/2016,2016.03.03,3,1,696478,6105597,Alive,1,Alone,Den shared,Absent,Absent,NA,696824,6107075,2,696478,6105597,696478,6105597,3/03/2016,-30,1332,1332.337795,86400,1859290,1.593315042,2.981962039,EQ03,1
21,25,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,4/03/2016,2016.03.04,4,1,696448,6106929,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,3,696448,6106929,696448,6106929,4/03/2016,1201,-352,1251.521075,86400,47170,-0.285104515,-1.878419557,EQ03,1
29,35,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,5/03/2016,2016.03.05,5,1,697649,6106577,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,4,697649,6106577,697649,6106577,5/03/2016,0,0,0,86400,2141045,NA,NA,EQ03,1
37,45,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,6/03/2016,2016.03.06,6,1,697649,6106577,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,4,697649,6106577,697649,6106577,6/03/2016,0,0,0,86400,2141045,NA,NA,EQ03,1
46,56,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,7/03/2016,2016.03.07,7,1,697649,6106577,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,4,697649,6106577,697649,6106577,7/03/2016,-963,-116,969.9613394,86400,2141045,-3.021713332,-2.736608817,EQ03,1
55,67,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,8/03/2016,2016.03.08,8,1,696686,6106461,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,5,696686,6106461,696686,6106461,8/03/2016,-227.3333333,-943.3333333,970.3392305,86400,434554,-1.807276611,1.214436722,EQ03,1
64,77,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,9/03/2016,2016.03.09,9,1,696459,6105516,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,6,696458.6667,6105517.667,696458.6667,6105517.667,9/03/2016,227.3333333,943.3333333,970.3392305,86400,2069178.889,1.334316043,3.141592654,EQ03,1
73,86,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,10/03/2016,2016.03.10,10,1,696686,6106461,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,5,696686,6106461,696686,6106461,10/03/2016,-360,-637,731.6891416,86400,434554,-2.085195909,2.863673355,EQ03,1
81,94,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,11/03/2016,2016.03.11,11,1,696326,6105824,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,7,696326,6105824,696326,6105824,11/03/2016,0,0,0,86400,1250021,NA,NA,EQ03,1
89,104,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,12/03/2016,2016.03.12,12,1,696326,6105824,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,7,696326,6105824,696326,6105824,12/03/2016,24,-166,167.725967,259200,1250021,-1.427212933,0.657982976,EQ03,1
112,131,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,15/03/2016,2016.03.15,15,1,696350,6105658,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,8,696350,6105658,696350,6105658,15/03/2016,-71.56666667,473.1333333,478.5153486,86400,1652561,1.720919392,-3.135052982,EQ03,1
120,140,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,16/03/2016,2016.03.16,16,1,696286,6106134,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,9,696278.4333,6106131.133,696278.4333,6106131.133,16/03/2016,1652.566667,-144.1333333,1658.840259,86400,653283.7389,-0.086997713,-1.807917105,EQ03,1
128,149,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,17/03/2016,2016.03.17,17,1,697931,6105987,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,10,697931,6105987,697931,6105987,17/03/2016,0,0,0,86400,3794401,NA,NA,EQ03,1
136,157,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,18/03/2016,2016.03.18,18,1,697931,6105987,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,10,697931,6105987,697931,6105987,18/03/2016,-1472,-400,1525.379953,86400,3794401,-2.876260567,-2.789262854,EQ03,1
144,165,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,19/03/2016,2016.03.19,19,1,696459,6105587,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,11,696459,6105587,696459,6105587,19/03/2016,1472,400,1525.379953,86400,1877185,0.265332086,3.141592654,EQ03,1
152,173,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,20/03/2016,2016.03.20,20,1,697931,6105987,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,10,697931,6105987,697931,6105987,20/03/2016,0,0,0,86400,3794401,NA,NA,EQ03,1
160,181,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,21/03/2016,2016.03.21,21,1,697931,6105987,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,10,697931,6105987,697931,6105987,21/03/2016,-1472,-400,1525.379953,86400,3794401,-2.876260567,3.141592654,EQ03,1
168,189,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,22/03/2016,2016.03.22,22,1,696459,6105587,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,11,696459,6105587,696459,6105587,22/03/2016,0,0,0,86400,1877185,NA,NA,EQ03,1
176,197,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,23/03/2016,2016.03.23,23,1,696459,6105587,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,11,696459,6105587,696459,6105587,23/03/2016,0,0,0,86400,1877185,NA,NA,EQ03,1
184,205,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,24/03/2016,2016.03.24,24,1,696459,6105587,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,11,696459,6105587,696459,6105587,24/03/2016,0,0,0,86400,1877185,NA,NA,EQ03,1
192,213,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,25/03/2016,2016.03.25,25,1,696459,6105587,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,11,696459,6105587,696459,6105587,25/03/2016,168,401,434.7700542,86400,1877185,1.174058996,-2.232865744,EQ03,1
200,221,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,26/03/2016,2016.03.26,26,1,696627,6105988,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,12,696627,6105988,696627,6105988,26/03/2016,-168,-401,434.7700542,86400,1059316,-1.967533658,3.141592654,EQ03,1
208,229,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,27/03/2016,2016.03.27,27,1,696459,6105587,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,11,696459,6105587,696459,6105587,27/03/2016,0,0,0,86400,1877185,NA,NA,EQ03,1
216,237,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,28/03/2016,2016.03.28,28,1,696459,6105587,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,11,696459,6105587,696459,6105587,28/03/2016,424.8,-39.33333333,426.6171013,86400,1877185,-0.092329335,1.875204323,EQ03,1
224,245,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,29/03/2016,2016.03.29,29,1,696883,6105546,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,13,696883.8,6105547.667,696883.8,6105547.667,29/03/2016,0,0,0,86400,2359174.618,NA,NA,EQ03,1
232,253,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,30/03/2016,2016.03.30,30,1,696883,6105546,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,13,696883.8,6105547.667,696883.8,6105547.667,30/03/2016,0,0,0,86400,2359174.618,NA,NA,EQ03,1
240,261,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,31/03/2016,2016.03.31,31,1,696883,6105546,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,13,696883.8,6105547.667,696883.8,6105547.667,31/03/2016,0,0,0,86400,2359174.618,NA,NA,EQ03,1
248,269,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,1/04/2016,2016.04.01,32,1,696883,6105546,Alive,1,Alone,Alone,Absent,Absent,NA,696824,6107075,13,696883.8,6105547.667,696883.8,6105547.667,1/04/2016,-256.8,440.3333333,509.7447248,349200,2359174.618,2.09876722,2.191096555,EQ03,1
263,285,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,5/04/2016,2016.04.05,36,1,696627,6105988,Alive,1,Den shared,Den shared,Absent,Absent,NA,696824,6107075,12,696627,6105988,696627,6105988,5/04/2016,0,0,0,86400,1059316,NA,NA,EQ03,1
270,292,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,6/04/2016,2016.04.06,37,1,696627,6105988,Alive,1,Den shared,Den shared,Absent,Absent,NA,696824,6107075,12,696627,6105988,696627,6105988,6/04/2016,0,0,0,86400,1059316,NA,NA,EQ03,1
277,299,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,7/04/2016,2016.04.07,38,1,696627,6105988,Alive,1,Den shared,Den shared,Absent,Absent,NA,696824,6107075,12,696627,6105988,696627,6105988,7/04/2016,0,0,0,86400,1059316,NA,NA,EQ03,1
283,306,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,8/04/2016,2016.04.08,39,1,696627,6105988,Alive,1,Den shared,Den shared,Absent,Absent,NA,696824,6107075,12,696627,6105988,696627,6105988,8/04/2016,0,0,0,86400,1059316,NA,NA,EQ03,1
289,313,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,9/04/2016,2016.04.09,40,1,696627,6105988,Alive,1,Den shared,Den shared,Absent,Absent,NA,696824,6107075,12,696627,6105988,696627,6105988,9/04/2016,0,0,0,86400,1059316,NA,NA,EQ03,1
295,320,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,10/04/2016,2016.04.10,41,1,696627,6105988,Alive,1,Den shared,Den shared,Absent,Absent,NA,696824,6107075,12,696627,6105988,696627,6105988,10/04/2016,918.0882353,63.88235294,920.3080804,86400,1059316,0.06946996,-2.029297261,EQ03,1
301,327,EQ03,8FC0,Female,Fawn,Captive,2016,11/02/2016,Captive-Wild,11/04/2016,2016.04.11,42,1,697546,6106048,Alive,1,Den shared,Den shared,Absent,Absent,NA,696824,6107075,14,697545.0882,6106051.882,697545.0882,6106051.882,11/04/2016,NA,NA,NA,NA,2512032.375,NA,NA,EQ03,1
22,26,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,4/03/2016,2016.03.04,3,1,696482,6105524,Alive,0,Alone,Alone,,,NA,697084,6106037,39,696482,6105524,696482,6105524,4/03/2016,-23.33333333,-6.333333333,24.17758374,86400,0,-2.876549794,NA,EQ04,1
30,36,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,5/03/2016,2016.03.05,4,1,696459,6105523,Alive,0,Alone,Alone,,,NA,697084,6106037,6,696458.6667,6105517.667,696458.6667,6105517.667,5/03/2016,0,0,0,86400,584.5555556,NA,NA,EQ04,1
38,46,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,6/03/2016,2016.03.06,5,1,696458,6105514,Alive,0,Alone,Alone,,,NA,697084,6106037,6,696458.6667,6105517.667,696458.6667,6105517.667,6/03/2016,72.33333333,-7.666666667,72.73849661,86400,584.5555556,-0.105596536,2.770953258,EQ04,1
47,57,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,7/03/2016,2016.03.07,6,1,696531,6105510,Alive,0,Alone,Alone,,,NA,697084,6106037,40,696531,6105510,696531,6105510,7/03/2016,0,0,0,86400,2597,NA,NA,EQ04,1
56,68,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,8/03/2016,2016.03.08,7,1,696531,6105510,Alive,0,Alone,Alone,,,NA,697084,6106037,40,696531,6105510,696531,6105510,8/03/2016,892,1211,1504.056182,86400,2597,0.93593862,1.041535155,EQ04,1
65,78,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,9/03/2016,2016.03.09,8,1,697423,6106721,Alive,0,Alone,Alone,,,NA,697084,6106037,41,697423,6106721,697423,6106721,9/03/2016,1546.352941,-726.6078431,1708.556811,259200,2318290,-0.43926658,-1.3752052,EQ04,1
90,105,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,12/03/2016,2016.03.12,11,1,698970,6105995,Alive,0,Den shared,Den shared,,,NA,697084,6106037,15,698969.3529,6105994.392,698969.3529,6105994.392,12/03/2016,0,0,0,86400,6408193.435,NA,NA,EQ04,1
97,113,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,13/03/2016,2016.03.13,12,1,698970,6105995,Alive,0,Alone,Den shared,,,NA,697084,6106037,15,698969.3529,6105994.392,698969.3529,6105994.392,13/03/2016,0,0,0,86400,6408193.435,NA,NA,EQ04,1
105,123,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,14/03/2016,2016.03.14,13,1,698970,6105995,Alive,0,Alone,Alone,,,NA,697084,6106037,15,698969.3529,6105994.392,698969.3529,6105994.392,14/03/2016,0,0,0,86400,6408193.435,NA,NA,EQ04,1
113,132,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,15/03/2016,2016.03.15,14,1,698970,6105995,Alive,0,Den shared,Alone,,,NA,697084,6106037,15,698969.3529,6105994.392,698969.3529,6105994.392,15/03/2016,0,0,0,86400,6408193.435,NA,NA,EQ04,1
121,141,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,16/03/2016,2016.03.16,15,1,698970,6105995,Alive,0,Alone,Den shared,,,NA,697084,6106037,15,698969.3529,6105994.392,698969.3529,6105994.392,16/03/2016,0,0,0,86400,6408193.435,NA,NA,EQ04,1
129,150,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,17/03/2016,2016.03.17,16,1,698970,6105995,Alive,0,Alone,Alone,,,NA,697084,6106037,15,698969.3529,6105994.392,698969.3529,6105994.392,17/03/2016,-584.3815126,164.1221289,606.9907952,86400,6408193.435,2.86779817,-2.976120557,EQ04,1
137,158,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,18/03/2016,2016.03.18,17,1,698386,6106158,Alive,0,Alone,Alone,,,NA,697084,6106037,42,698384.9714,6106158.514,698384.9714,6106158.514,18/03/2016,-501.9714286,-9.514285714,502.0615866,86400,4023908.637,-3.122641084,0.292746053,EQ04,1
145,166,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,19/03/2016,2016.03.19,18,1,697883,6106149,Alive,0,Alone,Alone,,,NA,697084,6106037,43,697883,6106149,697883,6106149,19/03/2016,-140.6666667,-128.3333333,190.4115426,86400,2353426,-2.402011227,0.720629857,EQ04,1
153,174,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,20/03/2016,2016.03.20,19,1,697739,6106019,Alive,0,Alone,Alone,,,NA,697084,6106037,44,697742.3333,6106020.667,697742.3333,6106020.667,20/03/2016,1227.019608,-26.2745098,1227.300887,86400,1835117.889,-0.021410004,2.380601223,EQ04,1
161,182,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,21/03/2016,2016.03.21,20,1,698970,6105995,Alive,0,Alone,Alone,,,NA,697084,6106037,15,698969.3529,6105994.392,698969.3529,6105994.392,21/03/2016,-560.5196078,172.7745098,586.5434869,86400,6408193.435,2.842593563,2.864003567,EQ04,1
169,190,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,22/03/2016,2016.03.22,21,1,698409,6106169,Alive,0,Alone,Alone,,,NA,697084,6106037,31,698408.8333,6106167.167,698408.8333,6106167.167,22/03/2016,-395.3333333,138.8333333,419.0025524,86400,4126350.056,2.803866606,-0.038726957,EQ04,1
177,198,EQ04,257,Male,Fawn,Captive,2016,11/02/2016,Captive-Wild,23/03/2016,2016.03.23,22,1,698014,6106310,Alive,0,Alone,Alone,,,NA,697084,6106037,45,698013.5,6106306,698013.5,6106306,23/03/2016,1122.75,19,1122.910754,86400,2957016.25,0.016921119,-2.786945487,EQ04,1
